REGIONE,PROVINCIA,PLESSO/SCUOLA,DENOMINAZIONE,ISTITUTO PRINCIPALE,DENOMINAZIONE ISTITUTO PRINCIPALE,INDIRIZZO,CAP,COMUNE,CARATTERISTICA,TIPO ISTITUZIONE,LATITUDINE,LONGITUDINE
Toscana,Prato,POAA812021,PAPA GIOVANNI XXIII,POIC812003,ROBERTO CASTELLANI,VIA SAFFI 25,59014,PRATO,,SCUOLA INFANZIA,"43,863520","11,041300"
Toscana,Prato,POAA81302R,B. MUNARI,POIC81300V,DON LORENZO MILANI,VIA PONTALTO 2,59100,PRATO,,SCUOLA INFANZIA,"43,867150","11,066800"
Toscana,Prato,POAA816028,GIANNI RODARI,POIC81600A,IC CLAUDIO PUDDU,VIA VIACCIA A NARNALI 60,59100,PRATO,,SCUOLA INFANZIA,"43,900410","11,058130"
Toscana,Prato,POAA81902Q,CASTELNUOVO,POIC81900T,PRIMO LEVI,"VIA DI CASTELNUOVO, 40",59100,PRATO,,SCUOLA INFANZIA,"43,827020","11,067690"
Toscana,Prato,POAA82002X,ABATONI,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA BOLOGNA 461,59100,PRATO,,SCUOLA INFANZIA,"43,905130","11,108930"
Toscana,Prato,POAA82102Q,C.A DALLA CHIESA,POIC82100T,IVA PACETTI,VIA VIOTTOLO DI MEZZANA  LOTTO A  SNC,59100,PRATO,,SCUOLA INFANZIA,"43,858560","11,115250"
Toscana,Prato,POAA81303T,SCUOLA INFANZIA TOBBIANA,POIC81300V,DON LORENZO MILANI,VIA TRAVERSA PISTOIESE 2,59100,PRATO,,SCUOLA INFANZIA,,
Toscana,Prato,POAA81903R,MATERNA CAFAGGIO,POIC81900T,PRIMO LEVI,"VIA ROMA, 317",59100,PRATO,,SCUOLA INFANZIA,"43,860800","11,081540"
Toscana,Prato,POAA820031,SCUOLA MATERNA G.MEUCCI,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA MARRADI 2,59100,PRATO,,SCUOLA INFANZIA,"43,896300","11,106640"
Toscana,Prato,POAA82103R,C. A. DALLA CHIESA LOTTO B,POIC82100T,IVA PACETTI,VIA VIOTTOLO DI MEZZANA   SNC,59100,PRATO,,SCUOLA INFANZIA,"43,858540","11,115270"
Toscana,Prato,POAA820042,A.MEONI,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA CANTAGALLO 37,59100,PRATO,,SCUOLA INFANZIA,"43,902430","11,098690"
Toscana,Prato,POCT70000N,CENTRO TERRITORIALE PERMANENTE,POMM039004,CPIA 1 PRATO,,,PRATO,,CENTRO TERRITORIALE,"43,877705","11,102228"
Toscana,Prato,POEE012005,"CONVITTO NAZIONALE ""CICOGNINI""",POEE012005,"CONVITTO NAZIONALE ""CICOGNINI""",PIAZZA DEL COLLEGIO 13,59100,PRATO,CONVITTO NAZIONALE,SCUOLA PRIMARIA,"43,878940","11,094180"
Toscana,Prato,POEE012016,"CONVITTO NAZIONALE ""CICOGNINI""",POEE012005,"CONVITTO NAZIONALE ""CICOGNINI""",PIAZZA DEL COLLEGIO 13,59100,PRATO,ANNESSO A CONVITTO,SCUOLA PRIMARIA,"43,878840","11,094000"
Toscana,Prato,POEE804016,C.COLLODI,POIC804004,IC CURZIO MALAPARTE,VIA DEL PURGATORIO 26,59100,PRATO,,SCUOLA PRIMARIA,"43,873100","11,085990"
Toscana,Prato,POEE805012,LE FONTI,POIC80500X,CONVENEVOLE,VIA PASTEUR 3,59100,PRATO,,SCUOLA PRIMARIA,"43,858590","11,096200"
Toscana,Prato,POEE80801D,PIETRO MASCAGNI,POIC80800B,P. MASCAGNI,"VIA TOSCANINI,6",59100,PRATO,,SCUOLA PRIMARIA,"43,883350","11,077370"
Toscana,Prato,POEE809019,CESARE GUASTI,POIC809007,MARCO POLO,VIA S.CATERINA 14,59100,PRATO,,SCUOLA PRIMARIA,"43,880120","11,093390"
Toscana,Prato,POEE812015,S. D'ACQUISTO,POIC812003,ROBERTO CASTELLANI,VIA BRAGA 13,59014,PRATO,,SCUOLA PRIMARIA,"43,844470","11,048630"
Toscana,Prato,POEE813011,DON LORENZO MILANI -SAN GIUSTO,POIC81300V,DON LORENZO MILANI,VIA DELLE GARDENIE 73,59100,PRATO,,SCUOLA PRIMARIA,"43,873520","11,070380"
Toscana,Prato,POEE81401R,GANDHI,POIC81400P,GANDHI,VIA MANNOCCI 23/E,59100,PRATO,,SCUOLA PRIMARIA,"43,884990","11,053960"
Toscana,Prato,POEE81501L,CILIANI,POIC81500E,F.LIPPI,VIA TARO 56,59100,PRATO,,SCUOLA PRIMARIA,"43,894140","11,087010"
Toscana,Prato,POEE81601C,CLAUDIO PUDDU - LOC.MALISETI,POIC81600A,IC CLAUDIO PUDDU,VIA MONTALESE 239 A,59100,PRATO,,SCUOLA PRIMARIA,"43,900160","11,077820"
Toscana,Prato,POEE817018,FABRIZIO DE ANDRE',POIC817006,GB.MAZZONI,"VIA G. CAPPONI, 51",59100,PRATO,,SCUOLA PRIMARIA,"43,886380","11,104750"
Toscana,Prato,POEE818014,"""IQBAL""",POIC818002,"IC ""PIER CIRONI""",VIA FIRENZE 93,59100,PRATO,,SCUOLA PRIMARIA,"43,871170","11,121090"
Toscana,Prato,POEE81901X,VALERIA CROCINI,POIC81900T,PRIMO LEVI,"VIA DEI FOSSI DEL FERRO, 17",59100,PRATO,,SCUOLA PRIMARIA,"43,836250","11,107150"
Toscana,Prato,POEE820014,I.CALVINO,POIC820002,ISTITUTO COMPRENSIVO NORD,VIA NATRETA 1,59100,PRATO,,SCUOLA PRIMARIA,"43,917390","11,095770"
Toscana,Prato,POEE82101X,SANTA GONDA,POIC82100T,IVA PACETTI,VIA SANTA GONDA 8,59100,PRATO,,SCUOLA PRIMARIA,"43,868920","11,109880"
Toscana,Prato,POEE80802E,BORGONUOVO/BOCCHERINI,POIC80800B,P. MASCAGNI,VIA CLEMENTI 13,59100,PRATO,,SCUOLA PRIMARIA,"43,888650","11,073780"
Toscana,Prato,POEE80902A,F. FILZI,POIC809007,MARCO POLO,VIA DEL SEMINARIO 2,59100,PRATO,,SCUOLA PRIMARIA,"43,882760","11,095120"
Toscana,Prato,POEE812026,A. BRUNI - CASALE,POIC812003,ROBERTO CASTELLANI,VIA DI BRUGNANO 20,59100,PRATO,,SCUOLA PRIMARIA,"43,873380","11,044710"
Toscana,Prato,POEE813022,AGOSTINO AMMANNATI,POIC81300V,DON LORENZO MILANI,VIA DEL CHIASSO 1,59100,PRATO,,SCUOLA PRIMARIA,"43,870600","11,054230"
Toscana,Prato,POEE81402T,LEONARDO DA VINCI,POIC81400P,GANDHI,PIAZZA DELLA CHIESA 20,59100,PRATO,,SCUOLA PRIMARIA,"43,880930","11,057820"
Toscana,Prato,POEE81602D,GIANNI RODARI,POIC81600A,IC CLAUDIO PUDDU,VIA VIACCIA A NARNALI 60,59100,PRATO,,SCUOLA PRIMARIA,"43,900410","11,058130"
Toscana,Prato,POEE818025,PIZZIDIMONTE,POIC818002,"IC ""PIER CIRONI""",VIA MUGELLESE 58,59100,PRATO,,SCUOLA PRIMARIA,"43,863170","11,139120"
Toscana,Prato,POEE819021,A. CECCHI,POIC81900T,PRIMO LEVI,VIA COMO S.N.,59100,PRATO,,SCUOLA PRIMARIA,"43,843810","11,092620"
Toscana,Prato,POEE820025,G.PUCCINI/BARTOLINI,POIC820002,ISTITUTO COMPRENSIVO NORD,"VIA GUERRA,  47",59100,PRATO,,SCUOLA PRIMARIA,"43,896060","11,097040"
Toscana,Prato,POEE821021,C.A. DALLA CHIESA,POIC82100T,IVA PACETTI,VIA PICASSO 17,59100,PRATO,,SCUOLA PRIMARIA,"43,859180","11,112950"
Toscana,Prato,POEE80803G,VIRGINIA FROSINI,POIC80800B,P. MASCAGNI,VIA GALCIANESE 21,59100,PRATO,,SCUOLA PRIMARIA,,
Toscana,Prato,POEE812037,ALBERTO MANZI,POIC812003,ROBERTO CASTELLANI,VIA A. QUARATA 24,59014,PRATO,,SCUOLA PRIMARIA,"43,864550","11,042910"
Toscana,Prato,POEE81403V,LUCA D'AMICO,POIC81400P,GANDHI,VIA VISIANA 255,59012,PRATO,,SCUOLA PRIMARIA,"43,896100","11,038930"
Toscana,Prato,POEE818036,NELSON MANDELA,POIC818002,"IC ""PIER CIRONI""",VIALE DELLA REPUBBLICA 17-19,59100,PRATO,,SCUOLA PRIMARIA,,
